group;team;code
A;Germany;GER
A;Scotland;SCO 
A;Hungary;HUN
A;Switzerland;SUI
B;Spain;ESP
B;Croatia;CRO
B;Italy;ITA
B;Albania;ALB 
C;Slovenia;SVN
C;Denmark;DEN 
C;Serbia;SRB
C;England;ENG 
D;Netherlands;NED
D;France;FRA 
D;Poland;POL 
D;Austria;AUT 
E;Ukraine;UKR 
E;Slovakia;SVK 
E;Belgium;BEL 
E;Romania;ROU
F;Portugal;POR
F;Czechia;CZE 
F;Georgia;GEO 
F;Turkey;TUR
